epoch,train_loss,test_loss,accuracy
0,4.488354819027458,4.2678701996803285,0.0454
1,3.964316826167069,3.698623013496399,0.1196
2,3.4501906459725746,3.300615406036377,0.2026
3,3.1060598595874516,3.0001675963401793,0.2598
4,2.854265914657923,2.757177472114563,0.314
5,2.6351245956158076,2.625529706478119,0.336
6,2.4567747500937753,2.47447350025177,0.3688
7,2.304338042895625,2.3002034425735474,0.4166
8,2.1660338771624827,2.2892965018749236,0.417
9,2.0478789379277567,2.1897834479808806,0.4428
10,1.946516167460464,2.0370098888874053,0.4776
11,1.8601975966626265,1.9916664719581605,0.4804
12,1.785463087671385,1.9535387456417084,0.4902
13,1.711477815166233,1.917056679725647,0.5006
14,1.64468292997578,1.8358330726623535,0.5232
15,1.589703959742869,1.8138432919979095,0.5204
16,1.5250714695829106,1.7524807155132294,0.5364
17,1.4783541881662654,1.7166271686553956,0.5412
18,1.4379090885008414,1.6677861213684082,0.5636
19,1.3893407759234662,1.629144936800003,0.5652
20,1.348916715524328,1.7400620937347413,0.5464
21,1.3148229934099152,1.6316919922828674,0.5628
22,1.2798187127263527,1.596259081363678,0.5856
23,1.2397292520352237,1.5791392862796783,0.577
24,1.2028671688451542,1.6177488088607788,0.5694
25,1.175559640517385,1.5502184450626373,0.5926
26,1.1478771748035912,1.5222689777612686,0.593
27,1.1146574964908165,1.600330501794815,0.5784
28,1.100682158287116,1.513196936249733,0.594
29,1.0760193067038153,1.4986363619565963,0.6024
30,1.0405843399875745,1.5294115155935288,0.5972
31,1.0191778084189873,1.4694719433784484,0.604
32,0.9979384778522131,1.5119659036397934,0.5988
33,0.9774499602439836,1.48890178501606,0.606
34,0.9555440779746048,1.4387566149234772,0.6186
35,0.9420792393562362,1.4704580575227737,0.6076
36,0.9162835492862491,1.4379269242286683,0.6178
37,0.9056230635624233,1.4486429333686828,0.6148
38,0.8806921299986952,1.4565764725208283,0.6136
39,0.865318801694029,1.4650570303201675,0.6166
40,0.8473734314751438,1.444756081700325,0.6298
41,0.62929925609996,1.3527725994586945,0.6518
42,0.5925629077347245,1.3571725726127624,0.655
43,0.5728594958782196,1.3673551708459855,0.6562
44,0.5600090761940311,1.3457371950149537,0.657
45,0.549718710146551,1.3516358435153961,0.6508
46,0.542354022717382,1.369146817922592,0.6566
47,0.5331862571201925,1.3458109855651856,0.6552
48,0.5250170256678514,1.3562002539634705,0.6624
49,0.5006956044496513,1.348138239979744,0.6554
50,0.49627657692263444,1.3647582322359084,0.6586
51,0.4930731714006484,1.339765763282776,0.6646
52,0.49583666020725653,1.3476882934570313,0.6596
53,0.49539718524677545,1.3522940397262573,0.6582
54,0.4895231763678273,1.3619700372219086,0.661
55,0.49301420586315664,1.363843783736229,0.6568
56,0.48995757924290156,1.3487888783216477,0.6656
57,0.49003355909050916,1.352282738685608,0.6584
58,0.48935620604068275,1.3632069110870362,0.6576
59,0.48854202190487406,1.3636101841926576,0.6564
60,0.49041484108590705,1.3508277744054795,0.6626
61,0.4901211163190406,1.3559615939855576,0.6578
62,0.4885968856924162,1.352316176891327,0.6564
63,0.4862475852210691,1.3594123989343643,0.6596
64,0.4887272846980358,1.3531424343585967,0.658
65,0.4893000450307929,1.347051191329956,0.6618
66,0.48765131443973603,1.357237496972084,0.6622
67,0.4869458955807949,1.357796922326088,0.657
68,0.4887234898885404,1.3463495582342149,0.6574
69,0.4881517986261,1.3656943947076798,0.656
70,0.48779773547893435,1.3570719420909882,0.6598
71,0.4884777979001286,1.3606808245182038,0.6632
72,0.4854367775475885,1.3511132091283797,0.6552
73,0.48682712106488824,1.3716567039489747,0.6546
74,0.4879150243373368,1.36152024269104,0.6584
75,0.4876394186198242,1.3721320778131485,0.6588
76,0.48822594105493367,1.3507697582244873,0.6582
77,0.486372215247999,1.335499393939972,0.6646
78,0.4868958271511896,1.346360805630684,0.6588
79,0.4877455076129418,1.3554687798023224,0.6584
80,0.485356256776438,1.361112606525421,0.6528
81,0.49022571120675157,1.3514545142650605,0.6626
82,0.4875375762816489,1.3589285105466842,0.6614
83,0.4871189255179383,1.3563847362995147,0.6588
84,0.4868607758654384,1.354811465740204,0.66
85,0.4882806473242955,1.3611541956663131,0.6596
86,0.4862892943339085,1.3486713021993637,0.6568
87,0.487136296282603,1.3659143090248107,0.6572
88,0.48605418087929253,1.3534713417291642,0.6618
89,0.4868497072359708,1.3599704772233963,0.6598
